Item ID,Custom label,Product ID type,Product ID value,Product ID value 2,Quantity available,Purchases,Bids,Price,Start date,End date,Condition,Type,Item title,Category leaf name,Category number,Private notes,Site listed,Download date,Variation details,Product reference ID,Condition ID,OutOfStockControl
383683115698,ITEM00001,,,,2,2,,�9.71,19-Aug-20,,New,9,The Viking Spirit: An Introduction to Norse Mythology and Religion,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,223829562,1000,false
383683115705,ITEM00006,,,,0,0,,�6.34,19-Aug-20,,New,9,Humbrol AD6011 150ml Acrylic Spray Paint No. 11 Silver Metallic,Paints & Accessories,2594,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115707,ITEM00011,,,,2,0,,�8.64,19-Aug-20,,New,9,Mindhunter: Inside the FBI Elite Serial Crime Unit Now A Netflix Series,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,239225831,1000,false
383683115715,ITEM00002,,,,2,0,,�4.84,19-Aug-20,,New,9,"Biomed Superwhite Mouthwash, 500 ml",Mouthwash,180266,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115716,ITEM00016,,,,2,1,,�6.94,19-Aug-20,,New,9,"Plant Bends 10-480-085,White Pack of 50",Other Hydroponics,20546,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115723,ITEM00012,,,,2,0,,�7.08,19-Aug-20,,New with tags,9,Pyramid Trek 50. Maximum strength DEET Insect/Mosquito Repellent DEET Spray,Insect Repellent,101768,,3,29-Aug-20 01:32:32 BST,,1805269853,1000,false
383683115724,ITEM00007,,,,2,0,,�9.63,19-Aug-20,,New,9,"Wellman Vitabiotics Conception, 30 Tablets",Vitamins & Minerals,11776,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115725,ITEM00021,,,,2,0,,�23.82,19-Aug-20,,New,9,"Dartington Crystal 6-Piece Stemless Gin Copa Party Glass, Crystal, 9.5 x 9.5 x",Glassware & Drinkware,20696,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115726,ITEM00031,,,,2,0,,�7.08,19-Aug-20,,New,9,"Whistle in the Wind: Life, death, detriment and dismissal in the NHS. A",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,25034755165,1000,false
383683115727,ITEM00026,,,,2,0,,�8.16,19-Aug-20,,New,9,"Just for Men Control GX Shampoo for All Shades Men's Grey Reducing Hair Wash,",Shampoos & Conditioners,177661,,3,29-Aug-20 01:32:32 BST,,13026543687,1000,false
383683115729,ITEM00003,,,,2,0,,�8.21,19-Aug-20,,New,9,HealthAid Iodine 300mcg 60 Vegan Tablets,Vitamins & Minerals,11776,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115738,ITEM00017,,,,0,1,,�9.00,19-Aug-20,,New,9,"Bob Martin Clear Flea & Tick Spray for Cats and Home, 300ml",Flea & Tick Remedies,20749,,3,29-Aug-20 01:32:32 BST,,24034026582,1000,false
383683115740,ITEM00008,,,,2,0,,�3.43,19-Aug-20,,New,9,"Stick it 10 m x 8 mm Removable Adhesive Roller, Transparent",Other Scrapbooking Supplies,75573,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115742,ITEM00022,,,,2,0,,�8.51,19-Aug-20,,New,9,New Grade 9-1 GCSE English - Dr Jekyll and Mr Hyde Revision Question Cards CGP,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115743,ITEM00027,,,,2,2,,�4.28,19-Aug-20,,New,9,Hypafix 71443 2.5 cm x 10 m Self Adhesive Tape,Other First Aid,11779,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115744,ITEM00032,,,,2,0,,�7.08,19-Aug-20,,New,9,Airfix A01309V Bren Gun Carrier and 6 PDR AT Gun,Models,1189,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115747,ITEM00004,,,,0,0,,�7.22,19-Aug-20,,New,9,"CB12 Whitening Mouthwash, 250 ml",Mouthwash,180266,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115748,ITEM00013,,,,2,0,,�9.35,19-Aug-20,,New,9,"Gillian Kyle Rectangular Cracker TIN, Various",Cake Tins,136814,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115757,ITEM00041,,,,0,0,,�4.54,19-Aug-20,,New,9,White loose powder lightweight foundation for every type of skin.,Face Powders,21021,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115759,ITEM00036,,,,2,0,,�15.01,19-Aug-20,,New,9,"Tisserand Aromatherapy - Frankincense Essential Oil, 9 ml",Aromatherapy,19258,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115760,ITEM00018,,,,0,0,,�3.32,19-Aug-20,,New,9,Millie Marotta's Animal Kingdom - A Colouring Book Adventure,Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,209409356,1000,false
383683115762,ITEM00046,,,,2,0,,�25.05,19-Aug-20,,New,9,Solgar Natural Vitamin K2 MK-7 100 �g Vegetable Capsules - Pack of 50,Vitamins & Minerals,11776,,3,29-Aug-20 01:32:32 BST,,6031289701,1000,false
383683115763,ITEM00009,,,,2,4,,�5.86,19-Aug-20,,New,9,Hozelock Flat Hose & Spiral Hose Adaptor,Other Watering Equipment,29522,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115768,ITEM00023,,,,2,0,,�5.60,19-Aug-20,,New,9,wolfcraft 4300000 Laminate Trimmer,Cutting Tools,178973,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115771,ITEM00014,,,,0,0,,�7.01,19-Aug-20,,New,9,"Max Factor Pan Stik Foundation, 13 Noveau Beige, Full Coverage and Smooth",Foundations,177666,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115772,ITEM00033,,,,0,0,,�8.10,19-Aug-20,,New,9,Schleich 13875 Black Bull,Animals & Dinosaurs,175692,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115773,ITEM00051,,,,2,0,,�8.57,19-Aug-20,,New,9,New Functional Skills Maths Level 2 - Study & Test Practice for 2019 & beyond,Adult Learning & University,1105,,3,29-Aug-20 01:32:32 BST,,225805241,1000,false
383683115775,ITEM00028,,,,2,0,,�48.60,19-Aug-20,,New,9,"Julius-K9, 16IDC-US-0, IDC Powerharness, dog harness, 0 Size, Ameri-Canis",Harnesses,66783,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115776,ITEM00056,,,,0,1,,�1.83,19-Aug-20,,New,9,Nip+Fab Glycolic Fix Cleansing Pads,Other Hair Care & Styling,177658,,3,29-Aug-20 01:32:32 BST,,,1000,false
